y_truth,y_glass,y_black,y_grader
19,19,19,0
8,4,8,2
3,1,3,1
13,20,13,1
6,4,6,1
18,1,18,1
1,1,1,1
12,12,12,0
23,1,23,1
6,4,6,2
12,1,12,2
17,15,17,1
5,1,5,2
14,1,14,1
2,4,2,2
19,19,19,0
9,9,9,1
9,9,9,1
7,1,7,1
18,1,18,1
14,4,14,2
9,9,9,1
2,4,2,1
12,4,12,1
22,22,22,0
7,4,7,2
11,11,11,0
11,9,11,1
23,19,23,2
1,1,1,2
12,20,12,1
6,4,6,1
14,1,14,1
15,15,15,0
6,4,6,2
4,4,4,1
23,1,23,1
4,4,4,1
6,4,6,1
21,19,21,1
23,1,23,1
22,1,22,1
6,4,6,1
17,1,17,2
18,4,18,1
24,1,24,1
11,11,11,0
24,19,24,1
9,15,9,2
18,1,18,1
16,4,16,2
3,1,3,1
2,1,2,1
11,13,11,2
13,20,13,1
2,9,2,1
4,4,4,1
23,4,23,1
11,11,11,0
7,1,7,1
4,1,4,1
24,1,24,2
7,1,7,2
16,1,16,1
16,4,16,1
16,4,16,2
9,9,9,1
9,9,9,2
17,1,17,1
12,20,12,1
0,0,0,0
13,20,13,1
2,4,2,1
13,20,13,1
22,22,22,0
21,1,21,1
21,1,21,2
12,4,12,1
4,4,4,1
13,4,13,2
24,19,24,1
22,20,22,1
14,1,14,1
7,15,7,2
13,1,13,2
7,20,7,1
24,19,24,1
18,1,18,2
19,19,19,0
2,9,2,1
21,20,21,1
10,1,10,2
3,1,3,1
8,9,8,1
4,4,4,1
5,15,5,1
8,9,8,1
7,4,7,1
20,20,20,0
2,4,2,1
5,1,5,2
0,0,0,0
25,1,25,1
23,13,23,1
13,15,13,1
17,13,17,2
1,1,1,1
20,20,20,0
9,4,9,2
12,20,12,1
7,20,7,1
0,0,0,0
14,4,14,1
4,4,4,1
20,20,20,0
0,20,0,1
23,4,23,1
18,1,18,1
9,9,9,1
10,4,10,1
8,9,8,1
15,15,15,0
19,19,19,0
7,20,7,1
0,0,0,0
19,19,19,0
0,0,0,0
21,20,21,1
8,9,8,1
25,4,25,1
21,1,21,2
12,1,12,1
11,11,11,0
14,4,14,2
1,1,1,1
10,1,10,1
7,1,7,1
19,19,19,0
22,22,22,0
5,19,5,1
0,0,0,0
4,4,4,1
12,20,12,1
1,1,1,1
12,1,12,2
21,19,21,1
18,1,18,1
2,4,2,1
7,1,7,2
20,20,20,0
15,15,15,0
25,1,25,1
15,1,15,1
7,1,7,1
19,19,19,0
1,1,1,1
20,20,20,0
18,1,18,1
5,19,5,1
9,9,9,1
17,1,17,1
4,4,4,1
15,1,15,1
8,1,8,1
10,1,10,2
3,1,3,1
1,1,1,2
7,1,7,2
15,15,15,0
14,1,14,1
18,1,18,1
10,4,10,1
21,19,21,1
5,15,5,1
24,19,24,1
16,4,16,1
18,1,18,1
1,1,1,2
10,4,10,2
21,20,21,1
1,1,1,1
24,19,24,1
14,1,14,1
25,4,25,1
11,11,11,0
9,9,9,1
25,1,25,1
0,0,0,0
