dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.98975253,0.00000000,0.03354968,0.80009524,0.00000000,0.12032531
gamma,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.92981189,0.00000000,0.17781061,0.87253417,0.00000000,0.18541659
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99390709,0.00000000,0.13537657,0.95887218,0.00000000,0.28019966
parkns,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99817792,0.00000000,0.02979099,0.91089474,0.00000000,0.19910576
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.82008373,0.00000000,0.27914817,0.78584144,0.00000000,0.21904737
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.99535764,0.00000000,0.44678086,0.98564323,0.00000000,0.44129733
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.77530751,0.00000000,0.24541975,0.75025806,0.00000000,0.21092078
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.96587523,0.00000000,0.41522543,0.92311111,0.00000000,0.25086831
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.86014222,0.00000000,0.42352904,0.82567000,0.00000000,0.42139614
page,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.98929292,0.00000000,0.25900618,0.97281356,0.00000000,0.28062567
spam,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.96946553,0.00000000,0.14841835,0.94327388,0.00000000,0.17230887
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-dt-binary,0.96554357,0.00000000,0.62436534,0.79914530,0.00000000,0.33553609
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98411244,0.36156616,0.03148441,0.81754059,0.33671429,0.11105009
gamma,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.92594541,0.35514663,0.12949434,0.90656356,0.35558360,0.15214319
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99325404,0.15691680,0.09552913,0.97446204,0.16418546,0.23782684
parkns,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99767705,0.23043636,0.02732375,0.93627925,0.22236842,0.20171951
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.86296174,0.24586977,0.20682329,0.84267985,0.25570450,0.16494511
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99485650,0.11704049,0.35775282,0.99080780,0.11794193,0.36187732
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.83961317,0.25426140,0.19814362,0.80393640,0.25567742,0.15599874
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.97837474,0.12066647,0.38243710,0.93368123,0.11730159,0.22336858
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.80370655,0.28216556,0.32629994,0.79065284,0.28254000,0.36001144
page,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.99489432,0.10444807,0.21067986,0.99050910,0.10451274,0.27212228
spam,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.95994902,0.24565638,0.10110575,0.94996679,0.24651485,0.12498752
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-dt-double,0.98507653,0.29504461,0.46297271,0.88664238,0.26957265,0.28744307
bench,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98618916,0.37425703,0.02554917,0.84102564,0.38438095,0.12626887
gamma,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.92511381,0.28827433,0.11475473,0.89305947,0.28929548,0.13569512
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99732490,0.21769546,0.06927829,0.97318160,0.21611529,0.16123933
parkns,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99807759,0.20716558,0.02319050,0.92767783,0.22231579,0.13906833
blood,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.85252453,0.23800869,0.17629299,0.81897178,0.24298739,0.14069354
car,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99508219,0.14076651,0.26698042,0.99243221,0.14606264,0.27982593
haber,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.83563445,0.24696469,0.21386827,0.80086058,0.24606452,0.14064180
iono,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98453540,0.23588608,0.20830240,0.92366719,0.25076190,0.10740454
letter,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.80569335,0.24350222,0.31329237,0.79060763,0.24469000,0.34538879
page,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.99613392,0.16297799,0.11843733,0.98862959,0.16301779,0.16723228
spam,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.96539355,0.25260700,0.08303781,0.95104115,0.25720702,0.10480208
