dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
151,1x5_Static_Binary_Shallow,0.98162760,0.59275515,0.40724485,0.00000000,0.07330753,0.77614286,0.55295238,0.44704762,0.00000000,0.11107268
17,1x5_Static_Binary_Shallow,0.99406357,0.77570731,0.22429269,0.00000000,0.16138796,0.95781955,0.76244361,0.23755639,0.00000000,0.25128416
174,1x5_Static_Binary_Shallow,0.99601429,0.67931494,0.32068506,0.00000000,0.03974379,0.89731579,0.66989474,0.33010526,0.00000000,0.21610864
176,1x5_Static_Binary_Shallow,0.82032134,0.58196119,0.41803881,0.00000000,0.25741261,0.78369369,0.57270631,0.42729369,0.00000000,0.20112345
19,1x5_Static_Binary_Shallow,0.99483008,0.64106321,0.35893679,0.00000000,0.45576269,0.98517879,0.63970023,0.36029977,0.00000000,0.44849784
212,1x5_Static_Binary_Shallow,0.97777778,0.59354839,0.40645161,0.00000000,0.23573004,0.83096774,0.58838710,0.41161290,0.00000000,0.24933637
267,1x5_Static_Binary_Shallow,0.99758686,0.72999459,0.27000541,0.00000000,0.16473145,0.99110970,0.72480165,0.27519835,0.00000000,0.18196965
329,1x5_Static_Binary_Shallow,0.89213239,0.37595833,0.62404167,0.00000000,0.15693656,0.68584858,0.36288006,0.63711994,0.00000000,0.10655244
43,1x5_Static_Binary_Shallow,0.77988485,0.58528300,0.41471700,0.00000000,0.27406966,0.74701075,0.58606452,0.41393548,0.00000000,0.15681079
451,1x5_Static_Binary_Shallow,0.91897436,0.55695055,0.44304945,0.00000000,0.11214090,0.75863636,0.54742424,0.45257576,0.00000000,-0.02770139
519,1x5_Static_Binary_Shallow,0.91445271,0.72807160,0.27192840,0.00000000,0.37310272,0.84078161,0.71085057,0.28914943,0.00000000,0.10400224
52,1x5_Static_Binary_Shallow,0.96372232,0.77938537,0.22061463,0.00000000,0.41322804,0.91968254,0.76336508,0.23663492,0.00000000,0.24752482
537,1x5_Static_Binary_Shallow,0.98517788,0.74199519,0.25800481,0.00000000,0.14005873,0.84357143,0.71857143,0.28142857,0.00000000,-0.01975333
545,1x5_Static_Binary_Shallow,0.93575386,0.70939049,0.29060951,0.00000000,0.26199510,0.92776903,0.70435696,0.29564304,0.00000000,0.25786330
563,1x5_Static_Binary_Shallow,0.98003527,0.79099118,0.20900882,0.00000000,0.37899918,0.95511111,0.78958730,0.21041270,0.00000000,0.38376166
850,1x5_Static_Binary_Shallow,0.91165432,0.58948148,0.41051852,0.00000000,0.27169780,0.86844444,0.58488889,0.41511111,0.00000000,0.21331388
863,1x5_Static_Binary_Shallow,0.89230400,0.40580605,0.59419395,0.00000000,0.24639337,0.84517375,0.39416618,0.60583382,0.00000000,0.22703275
887,1x5_Static_Binary_Shallow,0.86485223,0.74728145,0.25271855,0.00000000,0.26928295,0.84240861,0.74469549,0.25530451,0.00000000,0.22172085
891,1x5_Static_Binary_Shallow,0.86829400,0.62373270,0.37626730,0.00000000,0.24961248,0.86634894,0.62342479,0.37657521,0.00000000,0.24924552
94,1x5_Static_Binary_Shallow,0.97083241,0.68068759,0.31931241,0.00000000,0.19002485,0.94209941,0.67494190,0.32505810,0.00000000,0.19658763
96,1x5_Static_Binary_Shallow,0.96754011,0.65443396,0.34556604,0.00000000,0.62554318,0.80062678,0.63968661,0.36031339,0.00000000,0.34525378
151,1x5_Static_Double_AR_Shallow,0.98537144,0.47244965,0.22712311,0.30042724,0.04658246,0.81658208,0.39433333,0.25580952,0.34985714,0.11572164
17,1x5_Static_Double_AR_Shallow,0.99792278,0.68963534,0.08381008,0.22655458,0.07738092,0.97456748,0.67099624,0.08927318,0.23973058,0.15997411
174,1x5_Static_Double_AR_Shallow,0.99750540,0.61423831,0.16812468,0.21763701,0.03219200,0.92428587,0.59178947,0.18505263,0.22315789,0.16708009
176,1x5_Static_Double_AR_Shallow,0.89503647,0.51086825,0.06456100,0.42457075,0.19257043,0.86842117,0.50400721,0.06738378,0.42860901,0.16663951
19,1x5_Static_Double_AR_Shallow,0.99544335,0.60421943,0.29368468,0.10209589,0.29545070,0.99095648,0.59386208,0.29016736,0.11597056,0.28444575
212,1x5_Static_Double_AR_Shallow,0.99347056,0.52415771,0.12028674,0.35555556,0.14477037,0.91932088,0.51225806,0.11096774,0.37677419,0.23769717
267,1x5_Static_Double_AR_Shallow,0.99898207,0.60485137,0.13890024,0.25624839,0.05955322,0.99352362,0.59889242,0.13734264,0.26376494,0.06655033
329,1x5_Static_Double_AR_Shallow,0.91645885,0.20901073,0.22741822,0.56357106,0.08044578,0.72075966,0.19937781,0.23157721,0.56904498,0.05020276
43,1x5_Static_Double_AR_Shallow,0.87630216,0.51410382,0.11500527,0.37089091,0.23802633,0.80697433,0.52329032,0.11716129,0.35954839,0.13428981
451,1x5_Static_Double_AR_Shallow,0.96372146,0.38870879,0.18867033,0.42262088,0.07546272,0.78105556,0.33015152,0.20712121,0.46272727,0.02487594
519,1x5_Static_Double_AR_Shallow,0.94990193,0.60796778,0.13524797,0.25678425,0.25133972,0.85967272,0.58181609,0.15202299,0.26616092,0.06086127
52,1x5_Static_Double_AR_Shallow,0.99145177,0.61641692,0.12698513,0.25659795,0.20504859,0.93982234,0.58177778,0.14655556,0.27166667,0.12920750
537,1x5_Static_Double_AR_Shallow,0.99555724,0.67372596,0.14507212,0.18120192,0.12463271,0.86133333,0.60928571,0.18642857,0.20428571,0.01872944
545,1x5_Static_Double_AR_Shallow,0.98854901,0.68347040,0.02248469,0.29404491,0.23901542,0.98379226,0.67900262,0.02257218,0.29842520,0.23601186
563,1x5_Static_Double_AR_Shallow,0.99047610,0.76256790,0.04372487,0.19370723,0.23295264,0.98111146,0.76000000,0.04425397,0.19574603,0.27675302
850,1x5_Static_Double_AR_Shallow,0.97334992,0.50543210,0.07358025,0.42098765,0.20339804,0.93849920,0.50044444,0.07200000,0.42755556,0.16839443
863,1x5_Static_Double_AR_Shallow,0.95042451,0.23305221,0.24974804,0.51719976,0.12487903,0.90383403,0.22840419,0.23642205,0.53517375,0.12134652
887,1x5_Static_Double_AR_Shallow,0.89944426,0.67693849,0.07750573,0.24555579,0.20658513,0.88592760,0.67594250,0.07952740,0.24453010,0.18460823
891,1x5_Static_Double_AR_Shallow,0.94709749,0.55773853,0.03821271,0.40404876,0.21176029,0.94642707,0.55745900,0.03809287,0.40444812,0.21219171
94,1x5_Static_Double_AR_Shallow,0.97345163,0.51563563,0.11750058,0.36686380,0.07071807,0.95682070,0.51194134,0.12093483,0.36712383,0.08232262
96,1x5_Static_Double_AR_Shallow,0.99355783,0.56612483,0.07832123,0.35555394,0.35066577,0.90732093,0.50082621,0.10566952,0.39350427,0.24529984
151,1x5_Static_Double_GB_Shallow,0.97771738,0.59275515,0.22712311,0.18012174,0.06038954,0.77810215,0.55295238,0.25580952,0.19123810,0.09738323
17,1x5_Static_Double_GB_Shallow,0.99495965,0.77570731,0.08381008,0.14048261,0.11612701,0.96901618,0.76244361,0.08927318,0.14828321,0.20774828
174,1x5_Static_Double_GB_Shallow,0.99528084,0.67931494,0.16812468,0.15256039,0.03513026,0.91570565,0.66989474,0.18505263,0.14505263,0.19533042
176,1x5_Static_Double_GB_Shallow,0.88654041,0.58196119,0.06456100,0.35347781,0.21306892,0.85401407,0.57270631,0.06738378,0.35990991,0.16583247
19,1x5_Static_Double_GB_Shallow,0.99454248,0.64106321,0.29368468,0.06525211,0.39457184,0.98902037,0.63970023,0.29016736,0.07013241,0.38680473
212,1x5_Static_Double_GB_Shallow,0.98722960,0.59354839,0.12028674,0.28616487,0.17809280,0.90066531,0.58838710,0.11096774,0.30064516,0.24311322
267,1x5_Static_Double_GB_Shallow,0.99723461,0.72999459,0.13890024,0.13110516,0.11398811,0.99156667,0.72480165,0.13734264,0.13785571,0.12934102
329,1x5_Static_Double_GB_Shallow,0.85770393,0.37595833,0.22741822,0.39662345,0.10947631,0.69989307,0.36288006,0.23157721,0.40554273,0.06092974
43,1x5_Static_Double_GB_Shallow,0.86074543,0.58528300,0.11500527,0.29971173,0.24394317,0.79217190,0.58606452,0.11716129,0.29677419,0.12324859
451,1x5_Static_Double_GB_Shallow,0.95622919,0.55695055,0.18867033,0.25437912,0.11437003,0.74508730,0.54742424,0.20712121,0.24545455,-0.03442509
519,1x5_Static_Double_GB_Shallow,0.93230377,0.72807160,0.13524797,0.13668044,0.32509796,0.85782863,0.71085057,0.15202299,0.13712644,0.08354334
52,1x5_Static_Double_GB_Shallow,0.97748536,0.77938537,0.12698513,0.09362950,0.39953838,0.93107152,0.76336508,0.14655556,0.09007937,0.19892281
537,1x5_Static_Double_GB_Shallow,0.99046029,0.74199519,0.14507212,0.11293269,0.14568461,0.85383333,0.71857143,0.18642857,0.09500000,-0.03172421
