y_truth,y_glass,y_black,y_grader,y_grader2
0,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,1,1
0,0,0,0,1
0,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0,1,1,1,1
0,0,0,0,0
0,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0,0,0,0,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,1,0,1,1
0,1,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
1,1,1,0,1
1,1,1,1,1
1,1,1,1,0
1,1,1,0,1
1,0,1,1,1
1,0,1,1,1
1,1,1,1,0
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,1,1,0,1
1,0,0,1,1
1,1,1,0,1
1,0,1,1,1
1,1,1,0,0
1,0,1,1,1
1,1,1,0,0
1,1,1,0,1
1,1,1,1,1
1,0,1,1,1
1,1,1,0,0
1,0,1,1,1
1,1,1,0,0
1,1,1,1,0
1,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,1,1
1,1,1,0,0
1,1,1,1,1
1,1,1,0,1
1,1,1,1,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,1,0
1,1,1,1,0
1,1,1,0,0
1,1,1,1,1
1,1,1,0,0
1,1,1,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,0,1
1,1,1,1,1
1,0,0,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,1
1,1,1,0,1
1,1,1,1,1
1,0,0,1,1
1,1,1,1,1
