dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
151,3x5_Static_Binary_Shallow,0.98365457,0.51574696,0.48425304,0.00000000,0.05212433,0.78676190,0.52552381,0.47447619,0.00000000,0.15479731
17,3x5_Static_Binary_Shallow,0.99437599,0.78051596,0.21948404,0.00000000,0.15941229,0.95781955,0.76689850,0.23310150,0.00000000,0.29188603
174,3x5_Static_Binary_Shallow,0.99703896,0.59775195,0.40224805,0.00000000,0.03213917,0.91184211,0.58131579,0.41868421,0.00000000,0.17222294
176,3x5_Static_Binary_Shallow,0.82035119,0.65694190,0.34305810,0.00000000,0.27849658,0.78611171,0.64171532,0.35828468,0.00000000,0.21132928
19,3x5_Static_Binary_Shallow,0.99481739,0.63815530,0.36184470,0.00000000,0.45092780,0.98413564,0.63808442,0.36191558,0.00000000,0.43850099
212,3x5_Static_Binary_Shallow,0.98064516,0.57598566,0.42401434,0.00000000,0.23429597,0.83290323,0.56451613,0.43548387,0.00000000,0.27863276
267,3x5_Static_Binary_Shallow,0.99773235,0.72368111,0.27631889,0.00000000,0.16119117,0.99067386,0.71571776,0.28428224,0.00000000,0.17273808
329,3x5_Static_Binary_Shallow,0.84372865,0.54210236,0.45789764,0.00000000,0.15564712,0.67420690,0.54021439,0.45978561,0.00000000,0.12738444
43,3x5_Static_Binary_Shallow,0.77661370,0.65671331,0.34328669,0.00000000,0.26611751,0.75154839,0.66055914,0.33944086,0.00000000,0.21230769
451,3x5_Static_Binary_Shallow,0.91819963,0.43243040,0.56756960,0.00000000,0.08165338,0.76075758,0.42212121,0.57787879,0.00000000,-0.00578842
519,3x5_Static_Binary_Shallow,0.91965799,0.69513562,0.30486438,0.00000000,0.36599002,0.84073563,0.66234483,0.33765517,0.00000000,0.12229146
52,3x5_Static_Binary_Shallow,0.96682479,0.74816717,0.25183283,0.00000000,0.38134135,0.91687302,0.73495238,0.26504762,0.00000000,0.24401421
537,3x5_Static_Binary_Shallow,0.98703846,0.65065385,0.34934615,0.00000000,0.09275364,0.84928571,0.63107143,0.36892857,0.00000000,0.11997186
545,3x5_Static_Binary_Shallow,0.93575386,0.72762321,0.27237679,0.00000000,0.27291868,0.92771654,0.72288714,0.27711286,0.00000000,0.26173915
563,3x5_Static_Binary_Shallow,0.97959083,0.78885362,0.21114638,0.00000000,0.37227695,0.95606349,0.78800000,0.21200000,0.00000000,0.39019412
850,3x5_Static_Binary_Shallow,0.91209877,0.64365432,0.35634568,0.00000000,0.29629707,0.86933333,0.63488889,0.36511111,0.00000000,0.24877059
863,3x5_Static_Binary_Shallow,0.88152341,0.49345639,0.50654361,0.00000000,0.31826074,0.83608037,0.49130266,0.50869734,0.00000000,0.29117176
887,3x5_Static_Binary_Shallow,0.86556453,0.74728145,0.25271855,0.00000000,0.26928295,0.84267254,0.74469549,0.25530451,0.00000000,0.22172085
891,3x5_Static_Binary_Shallow,0.86869232,0.63543151,0.36456849,0.00000000,0.26441201,0.86687874,0.63542652,0.36457348,0.00000000,0.26485943
94,3x5_Static_Binary_Shallow,0.97311216,0.65798728,0.34201272,0.00000000,0.18232101,0.94505527,0.65303376,0.34696624,0.00000000,0.19715872
96,3x5_Static_Binary_Shallow,0.96487932,0.65500692,0.34499308,0.00000000,0.61653452,0.80059829,0.64051282,0.35948718,0.00000000,0.32593214
151,3x5_Static_Double_AR_Shallow,0.98815520,0.39448515,0.22477870,0.38073615,0.03716069,0.84349691,0.35500000,0.21057143,0.43442857,0.14546399
17,3x5_Static_Double_AR_Shallow,0.99789562,0.69100101,0.06924030,0.23975870,0.07803074,0.97447386,0.67204261,0.07879699,0.24916040,0.16220488
174,3x5_Static_Double_AR_Shallow,0.99791995,0.55490649,0.20397143,0.24112208,0.02725180,0.93763480,0.51163158,0.23084211,0.25752632,0.15635636
176,3x5_Static_Double_AR_Shallow,0.87869334,0.59164572,0.07626876,0.33208553,0.21078116,0.85395037,0.57967928,0.08769009,0.33263063,0.16620965
19,3x5_Static_Double_AR_Shallow,0.99693573,0.60896205,0.25966090,0.13137705,0.31040103,0.99316128,0.60117354,0.26085227,0.13797419,0.30766598
212,3x5_Static_Double_AR_Shallow,0.99597681,0.51655914,0.11089606,0.37254480,0.14712846,0.93703766,0.49290323,0.11161290,0.39548387,0.25884545
267,3x5_Static_Double_AR_Shallow,0.99890691,0.59715484,0.09538342,0.30746174,0.05711058,0.99357088,0.58972919,0.09592087,0.31434994,0.06673546
329,3x5_Static_Double_AR_Shallow,0.89892529,0.22558021,0.12144001,0.65297978,0.08424608,0.76213413,0.22263418,0.12144378,0.65592204,0.07629505
43,3x5_Static_Double_AR_Shallow,0.85370136,0.59919657,0.09477655,0.30602688,0.20895762,0.80841707,0.60129032,0.10068817,0.29802151,0.14133514
